"loc_id","latitude","longitude","Prov","region","BlockCode","bcr"
"L19147",48.418,-123.328,"BC","BC","10TDU",5
"L19358",48.61667,-80.633333,"ON","ON","17TNP",8
"L71568",43.628,-79.523,"ON","ON","17TPJ",13
"L71569",46.659,-63.114,"PE","AT","20TMS",14
"L19359",43.65095,-79.921532,"ON","ON","17TNJ",13
"L19148",43.554,-80.268,"ON","ON","17TNJ",13
"L19360",43.533688,-80.2454041,"ON","ON","17TNJ",13
"L19149",49.8291038,-97.3106933,"MB","PR","14UPA",11
"L19361",55.78333,-118.83333,"AB","PR","11ULB",6
"L19150",42.73333,-81.35,"ON","ON","17TMH",13
"L19151",49.316,-122.744,"BC","BC","10UEV",5
"L19362",45.63333,-74.333333,"QC","QC","18TWR",13
"L19152",51.76667,-121.1,"BC","BC","10UFC",10
"L19378",49.45,-120.51667,"BC","BC","10UFV",9
"L19379",44.4,-76.666667,"ON","ON","18TUQ",13
"L19153",44.4928,-80.214171,"ON","ON","17TNK",13
"L19380",45.58333,-61.916667,"NS","AT","20TNR",14
"L71570",55.1,-105.28333,"SK","PR","13UDB",8
"L19154",46.237,-63.129,"PE","AT","20TMS",14
"L19155",46.311,-79.454,"ON","ON","17TPM",12
"L19156",43.782,-79.305,"ON","ON","17TPJ",13
"L19381",44.43333,-77.883333,"ON","ON","18TTQ",13
"L19171",43.71667,-81.483333,"ON","ON","17TMJ",13
"L19382",44.61667,-76.133333,"ON","ON","18TVQ",13
"L71571",43.348,-79.78,"ON","ON","17TNJ",13
"L19383",45.43333,-75.833333,"QC","QC","18TVR",12
"L71572",46.5,-75.983333,"QC","QC","18TVS",12
"L71573",43.185,-79.254,"ON","ON","17TPH",13
"L19172",43.782,-79.305,"ON","ON","17TPJ",13
"L19384",43.817,-79.431,"ON","ON","17TPJ",13
"L19385",43.795,-79.267,"ON","ON","17TPJ",13
"L71574",45.16667,-75.466667,"ON","ON","18TVR",13
"L19173",42.83333,-80.3,"ON","ON","17TNH",13
